Algorithm,Data Size,Data Type,Thread Count,Average Time (ms),Min Time (ms),Max Time (ms),Std Dev,Speedup,Correctness
Parallel Merge Sort,1000000,Random,2,130.711,128.524,138.303,3.79884,1.88962,true
Parallel Merge Sort,1000000,Random,4,130.333,129.458,131.337,0.697531,1.8951,true
Parallel Merge Sort,1000000,Random,8,126.364,124.227,128.717,1.74425,1.95462,true
Parallel Merge Sort,1000000,Random,16,123.504,120.823,129.964,3.30274,1.99989,true
Parallel Merge Sort,1000000,Random,32,125.777,123.91,132.134,3.18444,1.96375,true
Parallel Merge Sort,1000000,Random,64,124.052,119.598,128.868,3.40751,1.99107,true
Parallel Merge Sort,1000000,Nearly Sorted,1,165.435,164.378,166.116,0.620435,1,true
Parallel Merge Sort,1000000,Nearly Sorted,2,105.077,101.535,115.313,5.14518,1.57441,true
Parallel Merge Sort,1000000,Nearly Sorted,4,104.056,103.141,105.846,0.966193,1.58987,true
Parallel Merge Sort,1000000,Nearly Sorted,8,101.174,99.787,103.109,1.27465,1.63515,true
Parallel Merge Sort,1000000,Nearly Sorted,16,100.015,97.485,102.756,2.00547,1.65411,true
Parallel Merge Sort,1000000,Nearly Sorted,32,102.47,100.48,104.623,1.68827,1.61448,true
Parallel Merge Sort,1000000,Nearly Sorted,64,101.983,96.11,107.186,4.36142,1.62218,true
Parallel Merge Sort,1000000,Reverse Sorted,1,136.624,135.883,136.931,0.376954,1,true
Parallel Merge Sort,1000000,Reverse Sorted,2,72.8758,72.729,73.115,0.128644,1.87476,true
Parallel Merge Sort,1000000,Reverse Sorted,4,71.4384,70.218,75.355,1.96895,1.91248,true
Parallel Merge Sort,1000000,Reverse Sorted,8,72.0778,69.886,73.342,1.39169,1.89551,true
Parallel Merge Sort,1000000,Reverse Sorted,16,76.3148,72.919,80.805,3.13551,1.79027,true
Parallel Merge Sort,1000000,Reverse Sorted,32,74.6426,72.215,78.349,2.17804,1.83038,true
Parallel Merge Sort,1000000,Reverse Sorted,64,78.3372,77.111,79.027,0.660036,1.74406,true
Parallel Merge Sort,1000000,Few Unique,1,176.869,176.732,177.049,0.106165,1,true
Parallel Merge Sort,1000000,Few Unique,2,93.8744,92.787,96.857,1.53438,1.8841,true
Parallel Merge Sort,1000000,Few Unique,4,94.3694,93.386,95.499,0.867209,1.87422,true
Parallel Merge Sort,1000000,Few Unique,8,95.814,93.149,98.224,1.85537,1.84596,true
Parallel Merge Sort,1000000,Few Unique,16,92.8368,91.42,94.316,1.03562,1.90516,true
Parallel Merge Sort,1000000,Few Unique,32,94.2654,92.699,96.223,1.18073,1.87629,true
Parallel Merge Sort,1000000,Few Unique,64,99.9742,97.029,103.864,2.57398,1.76915,true
Parallel Merge Sort,5000000,Random,1,1341.21,1338.56,1344.87,2.41821,1,true
Parallel Merge Sort,5000000,Random,2,706.621,701.032,712.247,4.04701,1.89806,true
Parallel Merge Sort,5000000,Random,4,696.77,689.227,707.419,5.90632,1.9249,true
Parallel Merge Sort,5000000,Random,8,700.478,680.279,731.009,19.9934,1.91471,true
Parallel Merge Sort,5000000,Random,16,683.726,664.019,709.377,14.8988,1.96162,true
Parallel Merge Sort,5000000,Random,32,677.703,667.763,696.243,10.0723,1.97906,true
Parallel Merge Sort,5000000,Random,64,661.096,649.823,682.517,11.154,2.02877,true
Parallel Merge Sort,5000000,Nearly Sorted,1,896.249,880.66,904.354,8.2858,1,true
Parallel Merge Sort,5000000,Nearly Sorted,2,562.474,559.387,568.365,3.71981,1.5934,true
Parallel Merge Sort,5000000,Nearly Sorted,4,558.868,549.674,574.094,8.71155,1.60369,true
Parallel Merge Sort,5000000,Nearly Sorted,8,554.562,540.959,565.926,9.32444,1.61614,true
Parallel Merge Sort,5000000,Nearly Sorted,16,555.228,546.441,567.591,8.36931,1.6142,true
Parallel Merge Sort,5000000,Nearly Sorted,32,546.273,538.346,561.582,9.20831,1.64066,true
Parallel Merge Sort,5000000,Nearly Sorted,64,539.637,532.762,556.629,8.71362,1.66084,true
Parallel Merge Sort,5000000,Reverse Sorted,1,723.051,692.916,742.101,18.4525,1,true
Parallel Merge Sort,5000000,Reverse Sorted,2,399.452,393.496,407.349,4.82944,1.81011,true
Parallel Merge Sort,5000000,Reverse Sorted,4,404.009,400.717,407.073,2.54309,1.78969,true
Parallel Merge Sort,5000000,Reverse Sorted,8,398.452,387.756,416.575,9.75938,1.81465,true
Parallel Merge Sort,5000000,Reverse Sorted,16,398.57,394.923,404.833,3.55414,1.81411,true
Parallel Merge Sort,5000000,Reverse Sorted,32,399.942,391.259,413.134,7.50926,1.80789,true
Parallel Merge Sort,5000000,Reverse Sorted,64,400.921,393.866,412.572,6.47602,1.80348,true
Parallel Merge Sort,5000000,Few Unique,1,967.51,950.665,991.973,15.2504,1,true
Parallel Merge Sort,5000000,Few Unique,2,504.15,498.368,514.61,5.88041,1.91909,true
Parallel Merge Sort,5000000,Few Unique,4,510.34,502.831,522.681,7.2266,1.89581,true
Parallel Merge Sort,5000000,Few Unique,8,505.431,492.793,520.129,11.2246,1.91423,true
Parallel Merge Sort,5000000,Few Unique,16,510.668,506.189,520.551,5.25594,1.8946,true
Parallel Merge Sort,5000000,Few Unique,32,508.298,502.221,514.8,5.3595,1.90343,true
Parallel Merge Sort,5000000,Few Unique,64,527.301,515.456,534.77,6.92545,1.83484,true
Sequential Merge Sort,10000,Random,1,1.7944,1.678,2.156,0.18164,1,true
Sequential Merge Sort,10000,Nearly Sorted,1,1.2418,1.148,1.585,0.17168,1,true
Sequential Merge Sort,10000,Reverse Sorted,1,0.9314,0.925,0.954,0.0113243,1,true
Sequential Merge Sort,10000,Few Unique,1,1.462,1.342,1.906,0.222154,1,true
Sequential Merge Sort,100000,Random,1,20.078,19.401,20.316,0.340586,1,true
Sequential Merge Sort,100000,Nearly Sorted,1,13.189,12.817,13.44,0.204773,1,true
Sequential Merge Sort,100000,Reverse Sorted,1,10.5228,10.443,10.671,0.0782979,1,true
Sequential Merge Sort,100000,Few Unique,1,14.9002,14.716,15.048,0.112414,1,true
Sequential Merge Sort,1000000,Random,1,230.519,221.335,234.444,4.73497,1,true
Sequential Merge Sort,1000000,Nearly Sorted,1,149.086,143.012,151.119,3.05963,1,true
Sequential Merge Sort,1000000,Reverse Sorted,1,120.128,119.407,121.066,0.558164,1,true
Sequential Merge Sort,1000000,Few Unique,1,162.871,161.502,165.522,1.38338,1,true
Sequential Merge Sort,5000000,Random,1,1249.35,1175.24,1270.33,37.1064,1,true
Sequential Merge Sort,5000000,Nearly Sorted,1,812.279,781.554,830.15,16.5199,1,true
Sequential Merge Sort,5000000,Reverse Sorted,1,667.803,659.952,685.68,9.37518,1,true
Sequential Merge Sort,5000000,Few Unique,1,879.133,872.643,887.163,4.67028,1,true
